Date,Counter Party,Reference,Type,Amount (GBP),Balance (GBP),Spending Category,Notes
20/02/2025,"Fowler, Sherman and Mathis",Object-based empowering software,APPLE PAY,-15.7,300.51,HOLIDAYS,Response key.
30/03/2025,"Jackson, Fuller and Shelton",Managed zero-defect matrix,APPLE PAY,-47.96,252.55,GROCERIES,Behavior catch fight.
09/02/2025,Richardson-Walker,Organized multi-tasking encryption,APPLE PAY,132.73,385.28,INCOME,Fine represent.
23/01/2025,Murray Inc,Multi-layered eco-centric productivity,ONLINE PAYMENT,171.66,556.94,INCOME,Culture cost.
04/03/2025,"Fields, Martin and Carlson",Secured holistic analyzer,FASTER PAYMENT,-31.96,524.98,LIFESTYLE,Home fly.
30/03/2025,Doyle Group,Future-proofed systemic framework,CONTACTLESS,-24.16,500.82,SUBSCRIPTIONS,Serious thought.
17/03/2025,Gutierrez-Brooks,De-engineered upward-trending encoding,CONTACTLESS,-42.57,458.25,EATING_OUT,Occur pick.
27/03/2025,Wade Ltd,Adaptive cohesive functionalities,APPLE PAY,-20.57,437.68,FUEL,Five happen feeling.
23/03/2025,Golden Group,Monitored grid-enabled info-mediaries,ONLINE PAYMENT,-50.14,387.54,SHOPPING,Foot just.
18/04/2025,Deleon PLC,Profound didactic orchestration,ONLINE PAYMENT,-15.58,371.96,PAYMENTS,Son.
21/01/2025,Alexander Group,Monitored reciprocal hierarchy,CONTACTLESS,-37.92,334.04,HOLIDAYS,Never girl page.
09/03/2025,Roberts and Sons,Triple-buffered asymmetric service-desk,APPLE PAY,-38.62,295.42,BILLS_AND_SERVICES,Girl television three.
12/04/2025,Wilson Ltd,Diverse radical protocol,CONTACTLESS,-8.2,287.22,LIFESTYLE,Space half.
10/02/2025,"Villanueva, Barr and Crane",Pre-emptive fault-tolerant standardization,ONLINE PAYMENT,-17.1,270.12,BILLS_AND_SERVICES,Total physical.
01/02/2025,"Kennedy, Rivera and Mathews",Public-key uniform process improvement,ONLINE PAYMENT,-38.53,231.59,GROCERIES,Experience state.
09/03/2025,Rogers-Roman,Down-sized 5thgeneration leverage,CONTACTLESS,-24.23,207.36,SUBSCRIPTIONS,Fish official.
12/02/2025,"Pierce, Pitts and Gonzalez",Optimized zero administration concept,CONTACTLESS,164.31,371.67,INCOME,Leader treat early.
24/01/2025,Olson-Vasquez,Stand-alone empowering productivity,CONTACTLESS,-48.42,323.25,SUBSCRIPTIONS,Enough table alone.
20/02/2025,Moore-Bailey,Upgradable multi-tasking info-mediaries,ONLINE PAYMENT,-45.22,278.03,GROCERIES,American feeling.
02/02/2025,Perez LLC,Polarized methodical standardization,ONLINE PAYMENT,-15.81,262.22,FUEL,Idea may author.
04/04/2025,Lyons-Roberson,Secured fault-tolerant knowledge user,APPLE PAY,-6.56,255.66,LIFESTYLE,War listen mean black.
27/03/2025,"Washington, Salinas and Blake",Realigned motivating array,ONLINE PAYMENT,104.19,359.85,INCOME,Project baby.
21/03/2025,"Brown, Fernandez and Gentry",Monitored user-facing analyzer,APPLE PAY,107.38,467.23,INCOME,Well.
01/03/2025,Snow LLC,Re-engineered analyzing monitoring,ONLINE PAYMENT,-47.61,419.62,BILLS_AND_SERVICES,Gas success.
12/02/2025,"Moore, Simon and Glover",Inverse clear-thinking alliance,APPLE PAY,169.39,589.01,INCOME,Husband run through.
03/02/2025,"Yoder, Long and Mahoney",Inverse foreground secured line,ONLINE PAYMENT,-35.23,553.78,SUBSCRIPTIONS,Clear meet table benefit.
09/03/2025,"Fitzgerald, Maxwell and Gamble",Seamless exuding infrastructure,ONLINE PAYMENT,-39.62,514.16,PAYMENTS,With job think.
06/03/2025,Chavez and Sons,Persevering solution-oriented attitude,ONLINE PAYMENT,-3.95,510.21,SHOPPING,Think push better.
26/02/2025,Cole-Crawford,Horizontal attitude-oriented help-desk,CONTACTLESS,-41.2,469.01,LIFESTYLE,Security identify.
20/04/2025,Whitaker-Anderson,Up-sized contextually-based concept,ONLINE PAYMENT,-48.87,420.14,SUBSCRIPTIONS,When teacher both.
20/02/2025,"Riley, Harrison and Williams",Managed optimizing customer loyalty,CONTACTLESS,-58.88,361.26,SHOPPING,Short across while.
11/04/2025,"Andersen, Walker and Daniel",Mandatory regional complexity,FASTER PAYMENT,-54.1,307.16,SUBSCRIPTIONS,All stay.
12/04/2025,Walter LLC,Managed zero tolerance function,FASTER PAYMENT,-3.02,304.14,FUEL,Shake recently.
14/02/2025,Mckinney Inc,Phased high-level emulation,APPLE PAY,-22.88,281.26,SHOPPING,Free interesting worry.
26/01/2025,"Pope, Kennedy and Cox",Organic analyzing methodology,APPLE PAY,-51.76,229.5,BILLS_AND_SERVICES,Game character.
17/04/2025,Pitts-Vega,Switchable needs-based website,APPLE PAY,-31.87,197.63,GROCERIES,Here everything different.
18/04/2025,"Jackson, Morgan and Johnson",Open-architected bandwidth-monitored website,ONLINE PAYMENT,-26.69,170.94,SHOPPING,Bank degree.
26/01/2025,Miller PLC,Reverse-engineered grid-enabled function,CONTACTLESS,-39.33,131.61,FUEL,Community form.
16/02/2025,Vasquez-Stewart,Organic high-level challenge,APPLE PAY,-29.1,102.51,HOLIDAYS,Talk morning old.
01/02/2025,Diaz Group,Sharable client-driven adapter,APPLE PAY,-55.62,46.89,BILLS_AND_SERVICES,Best wish.
06/03/2025,Allen Inc,Configurable holistic database,FASTER PAYMENT,-56.45,-9.56,EATING_OUT,Specific similar see.
26/02/2025,Rosales LLC,Streamlined solution-oriented software,CONTACTLESS,-59.67,-69.23,LIFESTYLE,Its also.
09/03/2025,Velez Inc,Re-contextualized next generation moratorium,ONLINE PAYMENT,-27.75,-96.98,SUBSCRIPTIONS,Bank list ability.
09/02/2025,Owens Inc,Diverse executive instruction set,FASTER PAYMENT,-31.21,-128.19,GROCERIES,Challenge ahead.
22/01/2025,"Walton, Melendez and Aguilar",Automated radical function,ONLINE PAYMENT,57.98,-70.21,INCOME,Everyone pay participant.
13/04/2025,Johnson Ltd,Operative object-oriented standardization,ONLINE PAYMENT,-10.77,-80.98,BILLS_AND_SERVICES,Really whether.
06/02/2025,"Stone, Acosta and Yoder",Automated static instruction set,ONLINE PAYMENT,-59.16,-140.14,SUBSCRIPTIONS,Rule mind.
02/02/2025,Santos-Ray,Team-oriented clear-thinking toolset,ONLINE PAYMENT,-50.72,-190.86,FUEL,Successful six official.
14/04/2025,"Trevino, Carney and Pennington",Public-key asynchronous focus group,CONTACTLESS,-33.52,-224.38,SHOPPING,Brother fight.
07/03/2025,Randall PLC,Balanced tangible process improvement,APPLE PAY,-36.14,-260.52,LIFESTYLE,Property ball.
16/04/2025,"Richards, Hernandez and Faulkner",Front-line bottom-line methodology,ONLINE PAYMENT,-21.39,-281.91,GROCERIES,Program deep strategy.
18/04/2025,"Thomas, Meyer and Martin",Intuitive context-sensitive extranet,CONTACTLESS,-4.95,-286.86,EATING_OUT,Least support me.
22/03/2025,Kelley-Patel,Inverse zero administration initiative,ONLINE PAYMENT,-24.63,-311.49,BILLS_AND_SERVICES,Key affect.
13/03/2025,"Smith, Salazar and Blair",Automated 4thgeneration interface,FASTER PAYMENT,-52.53,-364.02,SUBSCRIPTIONS,Player close manage.
07/04/2025,Jones Group,Automated local Graphical User Interface,ONLINE PAYMENT,-21.76,-385.78,HOLIDAYS,Nor never story.
29/01/2025,Cook-Burns,Total system-worthy software,CONTACTLESS,55.0,-330.78,INCOME,Type meet.
27/02/2025,Alexander-Bates,Right-sized encompassing throughput,CONTACTLESS,-5.56,-336.34,FUEL,Value.
